,GeoName,Earnings by place of work,Employee and self-employed contributions for government social insurance,Employer contributions for employee pension and insurance funds 8,Employer contributions for government social insurance,Equals: Net earnings by place of residence,Farm income 2,Farm proprietors' income,Less: Contributions for government social insurance 5,Nonfarm personal income 1,Nonfarm proprietors' income,Per capita personal income (dollars) 4,Personal income (thousands of dollars),Plus: Adjustment for residence 6,"Plus: Dividends, interest, and rent 7",Plus: Personal current transfer receipts,Population (persons) 3,Proprietors employment,Proprietors' income 9,Supplements to wages and salaries,Total employment,Wage and salary employment,Wages and salaries,year
20,"Charlotte, VA",49079,2785,4583,4614,64608,2623,1179,5092,108186,7930,9424,110809,20621,25158,21043,11758,1568,9109,6890,4578,3010,33080,1985
21,"Chesapeake (Independent City), VA",743331,40449,74732,78642,1475534,1952,-312,79770,1935147,60219,15038,1937099,811973,311190,150375,128814,6282,59907,114053,42229,35947,569371,1985
22,"Chesterfield, VA",1382003,69169,148118,136384,2291177,1221,772,137361,2868986,100289,17233,2870207,1046535,442863,136167,166556,10732,101061,216310,67963,57231,1064632,1985
23,"Clarke, VA",74338,3947,7167,6916,108387,359,-2037,7405,161959,11565,14852,162318,41454,39232,14699,10929,1489,9528,10625,5531,4042,54185,1985
24,"Craig, VA",10150,598,1172,926,28611,158,11,1061,44615,1636,10870,44773,19522,9575,6587,4119,437,1647,1635,1077,640,6868,1985
25,"Culpeper, VA",178922,9767,18712,17698,220295,92,-2231,18616,328646,19420,13767,328738,59989,70248,38195,23879,2362,17189,27561,11835,9473,134172,1985
26,"Cumberland, VA",24848,1131,1685,1444,49247,6247,5121,1853,72780,6076,10028,79027,26252,15371,14409,7881,761,11197,2407,1929,1168,11244,1985
27,"Dickenson, VA",150458,8080,14658,13448,138023,32,8,14804,213120,35767,10856,213152,2369,29615,45514,19635,979,35775,21382,5562,4583,93301,1985
28,"Dinwiddie, Colonial Heights + Petersburg, VA*",528414,29214,58964,53522,605332,1914,742,55975,995438,46818,12923,997352,132893,212959,179061,77178,4183,47560,85725,32570,28387,395129,1985
29,"Essex, VA",52680,3061,5060,5160,53761,-1301,-1970,5641,97396,7611,10914,96095,6722,25170,17164,8805,886,5641,7640,4439,3553,39399,1985
30,"Fairfax, Fairfax City + Falls Church, VA*",9938445,487210,930413,966284,12848869,1187,-350,970352,16901624,775785,22713,16902811,3880776,3479991,573951,744202,63602,775435,1413555,424176,360574,7749455,1985
31,"Fauquier, VA",279545,13794,30586,24384,507829,1594,-2327,25986,735660,42800,18066,737254,254270,182593,46832,40809,4625,40473,42778,18077,13452,196294,1985
32,"Floyd, VA",43156,2374,3451,3338,80909,3545,2724,4043,122218,10805,10767,125763,41796,25293,19561,11680,1848,13529,5120,4062,2214,24507,1985
33,"Fluvanna, VA",34905,2120,3463,3182,73379,-692,-1134,3711,121744,7228,11247,121052,42185,29883,17790,10763,1052,6094,5054,2893,1841,23757,1985
34,"Franklin, VA",180736,9870,16942,17528,285777,5005,1862,18634,413479,23658,11333,418484,123675,80283,52424,36926,3361,25520,25706,13783,10422,129510,1985
35,"Frederick + Winchester, VA*",615766,32736,55785,61876,502444,2556,-1293,63674,726354,64537,12739,728910,-49648,149287,77179,57218,5058,63244,86723,33952,28894,465799,1985
36,"Giles, VA",129176,7107,15131,13550,120592,-247,-487,13882,190540,8434,11076,190293,5298,34889,34812,17180,1328,7947,21906,7089,5761,99323,1985
37,"Gloucester, VA",104366,6017,9594,9226,237862,-543,-1002,10630,349591,20627,13650,349048,144126,76905,34281,25572,2090,19625,14207,7683,5593,70534,1985
38,"Goochland, VA",60330,3408,4751,4972,142431,66,-382,5894,209047,15536,16511,209113,87995,48873,17809,12665,1377,15154,7237,3973,2596,37939,1985
39,"Grayson, VA",62696,3580,6025,6112,94281,2392,1602,6636,150132,8362,9243,152524,38221,29351,28892,16501,1906,9964,9081,5793,3887,43651,1985
40,"Greene, VA",20609,1209,1825,1496,66113,412,217,1957,95626,5996,10926,96038,47461,18701,11224,8790,827,6213,2573,1845,1018,11823,1985
41,"Greensville + Emporia, VA*",115394,6310,11520,12104,92344,876,47,12362,151464,6763,10109,152340,-10688,28444,31552,15069,895,6810,17572,7701,6806,91012,1985
42,"Halifax, VA",220678,12180,20982,22660,226317,5783,3216,23510,358305,19741,9965,364088,29149,71988,65783,36535,3982,22957,32312,16500,12518,165409,1985
43,"Hampton (Independent City), VA",1456416,61050,234028,139786,1211457,0,0,130943,1758179,42652,13887,1758179,-114016,387673,159049,126607,4801,42652,303921,69692,64891,1109843,1985
44,"Hanover, VA",484741,26262,39038,49072,629216,3471,1556,50798,861087,52188,16270,864558,195273,165418,69924,53138,4792,53744,63574,26625,21833,367423,1985
45,"Henrico, VA",2083434,110897,179419,220358,2450031,1261,640,221076,3420528,117868,17304,3421789,587673,720344,251414,197750,8105,118508,289598,101101,92996,1675328,1985
46,"Henry + Martinsville, VA*",810923,43402,80208,90286,611639,-289,-557,88545,916904,44442,12253,916615,-110739,189933,115043,74809,4451,43885,125351,47182,42731,641687,1985
47,"Highland, VA",10146,564,834,710,16636,1120,839,919,27347,2591,10178,28467,7409,7004,4827,2797,610,3430,1189,1230,620,5527,1985
48,"Isle of Wight, VA",237991,12490,22600,25086,238087,4126,2480,25033,324247,11800,14122,328373,25129,56588,33698,23252,1550,14280,35143,11163,9613,188568,1985
49,"James City + Williamsburg, VA*",516288,27311,49798,53748,404212,661,235,54185,583437,27290,15314,584098,-57891,125291,54595,38142,3027,27525,76672,30382,27355,412091,1985
50,"King George, VA",195619,5871,35600,14242,119705,-112,-379,12992,176798,8375,15447,176686,-62922,44862,12119,11438,1498,7996,42721,7583,6085,144902,1985
51,"King William, VA",87563,4734,7667,8888,95291,972,322,9178,137474,6988,14181,138446,16906,27904,15251,9763,725,7310,12111,4241,3516,68142,1985
52,"King and Queen, VA",17306,980,2060,1374,41864,714,314,1667,67001,3355,10984,67715,26225,14977,10874,6165,540,3669,2747,1547,1007,10890,1985
53,"Lancaster, VA",72222,4265,6217,6720,61952,-195,-381,7625,144792,11407,13809,144597,-2645,56319,26326,10471,1225,11026,9577,5186,3961,51619,1985
54,"Lee, VA",83738,5041,9177,7994,121211,1285,553,9038,219265,11135,8552,220550,46511,37141,62198,25789,2898,11688,13174,7535,4637,58876,1985
55,"Loudoun, VA",595300,29219,59889,55582,995992,-291,-3639,57010,1354556,61948,20145,1354265,457702,297034,61239,67225,7195,58309,87680,31981,24786,449311,1985
56,"Louisa, VA",116472,6399,11518,11188,133735,1287,681,11993,206365,13979,11067,207652,29256,40780,33137,18763,1580,14660,17112,6647,5067,84700,1985
57,"Lunenburg, VA",54845,3048,6020,5532,65700,970,-229,5814,109027,6088,9348,109997,16669,24203,20094,11767,1182,5859,8786,4909,3727,40200,1985
58,"Madison, VA",34524,1877,2909,2514,61902,2516,1176,3134,105653,9593,10018,108169,30512,29070,17197,10798,1392,10769,4166,3415,2023,19589,1985
59,"Mathews, VA",24372,1597,1914,1632,64930,-3,-395,2413,118020,9150,14209,118017,42971,33702,19385,8306,866,8755,2730,2136,1270,12887,1985
60,"Mecklenburg, VA",207515,11359,20246,21886,185121,4247,1213,22302,306181,16189,10521,310428,-92,71862,53445,29506,2475,17402,31189,15511,13036,158924,1985
61,"Middlesex, VA",41977,2487,4178,3708,59703,206,-652,4341,110302,9402,13436,110508,22067,31650,19155,8225,925,8750,6032,3594,2669,27195,1985
62,"Montgomery + Radford, VA*",731391,38660,87511,76352,597651,1154,-116,76836,869370,33252,10639,870524,-56904,174488,98385,81823,4648,33136,125687,41649,37001,572568,1985
63,"Nelson, VA",49710,3018,4423,4544,88615,-119,-1153,5290,140078,10553,11176,139959,44195,28726,22618,12523,1265,9400,6695,4278,3013,33615,1985
64,"New Kent, VA",30451,1817,2782,2804,97538,-447,-594,3219,134881,6535,14537,134434,70306,24555,12341,9248,839,5941,4184,2411,1572,20326,1985
65,"Newport News (Independent City), VA",2297992,111683,293821,229670,1607859,0,0,226518,2236298,80831,14251,2236298,-463615,425437,203002,156924,6554,80831,408656,97483,90929,1808505,1985
66,"Norfolk (Independent City), VA",5506401,236812,882317,556042,2368461,0,0,514833,3748419,117483,14061,3748419,-2623107,977650,402308,266585,10603,117483,1160338,242855,232252,4228580,1985
67,"Northampton, VA",81176,4585,8603,7892,69384,1089,-1131,8531,135996,11106,10010,137085,-3261,37440,30261,13695,1083,9975,12549,6385,5302,58652,1985
68,"Northumberland, VA",43712,2667,4148,3680,56093,-397,-732,4507,126717,10566,12710,126320,16888,46290,23937,9939,1082,9834,5988,3435,2353,27890,1985
69,"Nottoway, VA",113901,5951,13991,13924,97617,3783,2618,12913,165603,7661,11198,169386,-3371,38080,33689,15126,1145,10279,20953,6955,5810,82669,1985
70,"Orange, VA",116024,6530,10977,11424,141532,1731,-128,12242,234481,16234,12408,236212,37750,60703,33977,19037,1963,16106,16689,8486,6523,83229,1985
71,"Page, VA",106374,5677,9500,10194,142119,6889,5692,10774,218127,14526,11208,225016,46519,45726,37171,20076,1793,20218,14597,7432,5639,71559,1985
72,"Patrick, VA",80536,4542,7475,7954,130661,2316,1380,8519,188818,11163,10949,191134,58644,31734,28739,17457,2113,12543,11452,6884,4771,56541,1985
73,"Pittsylvania + Danville, VA*",827314,45392,76596,89130,812366,10895,6455,89957,1223579,61921,11251,1234474,75009,228173,193935,109724,7605,68376,121161,50585,42980,637777,1985
74,"Portsmouth (Independent City), VA",1290098,48703,217414,112116,897528,0,0,104761,1376460,35228,12917,1376460,-287809,305270,173662,106562,4054,35228,273472,56304,52250,981398,1985
75,"Powhatan, VA",52154,2889,5625,4760,117612,1256,-242,5269,160912,8373,12357,162168,70727,30637,13919,13124,907,8131,8005,3519,2612,36018,1985
76,"Prince Edward, VA",113297,6241,11809,11250,84972,1157,16,11866,149330,10919,9037,150487,-16459,35138,30377,16652,1365,10935,17434,8766,7401,84928,1985
77,"Prince George + Hopewell, VA*",626130,24837,108144,57802,402790,379,-121,53738,598507,19077,11966,598886,-169602,134718,61378,50051,1870,18956,137045,26507,24637,470129,1985
78,"Prince William, Manassas + Manassas Park, VA*",1467913,73212,157786,144328,2772198,-305,-1199,145376,3479937,121884,17439,3479632,1449661,587100,120334,199527,11431,120685,229950,72322,60891,1117278,1985
79,"Pulaski, VA",300589,16043,34370,32340,262197,790,-738,32213,387716,16458,11027,388506,-6179,61953,64356,35233,1969,15720,50540,17489,15520,234329,1985
80,"Rappahannock, VA",21653,1292,1708,1616,42819,-328,-1398,2100,75563,7797,12158,75235,23266,22533,9883,6188,950,6399,2516,2365,1415,12738,1985
81,"Richmond (Independent City), VA",5030983,262097,537890,526178,2178632,0,0,525186,3484152,216461,16378,3484152,-2327165,799098,506422,212730,21534,216461,800979,227969,206435,4013543,1985
82,"Richmond, VA",46964,2676,4895,4654,42762,-508,-908,5003,80104,5266,11584,79596,801,22057,14777,6871,713,4358,7222,3362,2649,35384,1985
83,"Roanoke (Independent City), VA",1551061,84390,150169,184602,840323,0,0,176691,1349337,90224,13630,1349337,-534047,274808,234206,99000,8541,90224,242470,79970,71429,1218367,1985
84,"Roanoke + Salem, VA*",1021266,53219,99121,111346,1091141,2520,1630,108892,1530981,78641,15436,1533501,178767,305995,136365,99344,6326,80271,154794,50953,44627,786201,1985
85,"Rockbridge, Buena Vista + Lexington, VA*",209802,11542,21307,22078,199939,1433,319,22581,323180,17134,10395,324613,12718,76455,48219,31228,2673,17453,32346,13896,11223,160003,1985
86,"Rockingham + Harrisonburg, VA*",743890,37499,70545,70728,648410,44435,33018,72863,906150,72633,11821,950585,-22617,195349,106826,80416,8641,105651,105909,46105,37464,532330,1985
87,"Russell, VA",163850,9136,18071,18568,188385,474,-719,18420,296156,15383,9539,296630,42955,47111,61134,31096,2860,14664,27355,10104,7244,121831,1985
88,"Scott, VA",73958,4436,7885,6934,137394,2486,1939,7903,223354,9642,9203,225840,71339,39578,48868,24541,3195,11581,11352,7269,4074,51025,1985
89,"Shenandoah, VA",206610,11019,19479,19778,229816,8355,5396,20908,352333,24719,12479,360688,44114,81304,49568,28904,3119,30115,29368,14430,11311,147127,1985
90,"Smyth, VA",224224,12286,23482,22298,206189,2846,1540,23435,323162,22419,9934,326008,5400,58294,61525,32817,2990,23959,34631,15242,12252,165634,1985
91,"Southampton + Franklin, VA*",142305,7635,14472,13802,169883,8765,6291,14536,269580,10933,11015,278345,42114,62927,45535,25270,1760,17224,21373,10074,8314,103708,1985
92,"Spotsylvania + Fredericksburg, VA*",470223,25602,42256,46396,626245,-295,-1095,48800,858918,57788,15215,858623,204822,158389,73989,56432,4907,56693,65454,28962,24055,348076,1985
93,"Stafford, VA",243726,12084,30433,22922,589396,-980,-1288,23545,793307,33476,16584,792327,369215,159528,43403,47777,2950,32188,41894,13146,10196,169644,1985
94,"Suffolk (Independent City), VA",332852,18101,32431,34246,469912,6229,3350,35224,679474,22295,14053,685703,172284,120907,94884,48793,2548,25645,49554,19267,16719,257653,1985
95,"Surry, VA",76417,4051,7606,8072,39102,464,-123,8087,63935,2500,10627,64399,-29228,15298,9999,6060,538,2377,11642,3060,2522,62398,1985
96,"Sussex, VA",45316,2582,4603,4302,67274,1565,632,4733,111368,5038,10845,112933,26691,26679,18980,10413,718,5670,6754,3405,2687,32892,1985
97,"Tazewell, VA",277960,15672,27142,27906,312397,1235,395,29625,514826,31591,10516,516061,64062,93221,110443,49072,3281,31986,41095,17369,14088,204879,1985
98,Virginia,65054570,3193745,7477081,6484978,62316171,223587,89531,6436234,89084823,4279320,15627,89308410,3697835,18944612,8047627,5715149,428365,4368851,10719570,3181471,2753106,49966149,1985
99,"Virginia Beach (Independent City), VA",2632175,126661,341770,265010,4174032,2269,998,259166,5696134,185004,17735,5698403,1801023,1254652,269719,321304,21016,186002,474275,152732,131716,1971898,1985
100,"Warren, VA",150172,8168,16301,14358,201275,-45,-424,15347,297048,17560,13127,297003,66450,58029,37699,22626,1717,17136,23480,9412,7695,109556,1985
101,"Washington + Bristol, VA*",511470,27543,51703,51850,451265,5793,2442,53468,697642,41616,10905,703435,-6737,138365,113805,64507,6736,44058,77628,33906,27170,389784,1985
102,"Westmoreland, VA",47000,2870,5058,3992,88992,227,-1677,4866,164258,9648,11413,164485,46858,44987,30506,14412,1274,7971,7054,4732,3458,31975,1985
103,"Wise + Norton, VA*",476143,25604,48643,50214,356520,-220,-289,50711,552136,62886,11583,551916,-68912,81205,114191,47648,2805,62597,73750,20275,17470,339796,1985
104,"Wythe, VA",160581,8728,16318,15668,177168,4458,2642,16562,278439,16179,11187,282897,33149,53307,52422,25288,2481,18821,24152,11576,9095,117608,1985
105,"York + Poquoson, VA*",319442,13906,47711,27888,585936,755,26,27850,826956,27544,17267,827711,294344,191153,50622,47936,3148,27570,61655,16718,13570,230217,1985
0,"Accomack, VA",260862,13425,27481,22070,222651,16028,10657,24460,360366,41630,12053,376394,-13751,92446,61297,31228,2359,52287,38516,15409,13050,170059,1986
1,"Albemarle + Charlottesville, VA*",1380316,75066,148415,143646,1030545,1445,-1483,146889,1607664,85773,15899,1609109,-202882,434831,143733,101207,9692,84290,220238,72831,63139,1075788,1986
2,"Alexandria (Independent City), VA",2604907,127539,290317,258834,2026953,0,0,256956,2925947,125991,26321,2925947,-320998,724749,174245,111165,13142,125991,419734,104024,90882,2059182,1986
3,"Alleghany + Covington, VA*",248337,14624,25724,32848,190007,-43,-118,31048,307474,15156,11700,307431,-27282,57328,60096,26276,1553,15038,42148,11629,10076,191151,1986
4,"Amelia, VA",45700,2177,3449,3148,75843,9691,8314,3751,98331,8359,12889,108022,33894,18782,13397,8381,964,16673,5023,3048,2084,24004,1986
5,"Amherst, VA",193262,11199,21202,20064,209527,-8,-334,21231,315027,18315,10994,315019,37496,61804,43688,28654,1900,17981,31234,11167,9267,144047,1986
6,"Appomattox, VA",73133,4325,7665,7390,92265,-1094,-1441,8020,141340,11138,11547,140246,27152,26590,21391,12146,1160,9697,11360,5264,4104,52076,1986
7,"Arlington, VA",6561720,283032,902490,635012,2946014,0,0,600538,4373216,217875,26108,4373216,-3015168,1211598,215604,167502,16535,217875,1219996,195807,179272,5123849,1986
8,"Augusta, Staunton + Waynesboro, VA*",913884,50249,95419,93142,819240,19214,14345,96820,1235824,75974,13602,1255038,2176,268838,166960,92272,8462,90319,141990,48454,39992,681575,1986
9,"Bath, VA",58241,3301,5819,6106,40695,-431,-661,6354,67799,2941,13166,67368,-11192,15642,11031,5117,467,2280,8872,3076,2609,47089,1986
10,"Bedford, VA*",213735,12816,21581,21622,433147,-1570,-3020,23627,635924,28647,13631,634354,243039,126813,74394,46538,4520,25627,32392,15395,10875,155716,1986
11,"Bland, VA",31429,1860,3397,3042,41686,433,97,3381,62627,4902,9835,63060,13638,10706,10668,6412,796,4999,4918,2255,1459,21512,1986
12,"Botetourt, VA",106700,6484,10557,12872,226932,719,-467,12920,320600,18571,13389,321319,133152,59199,35188,23998,2235,18104,16993,6956,4721,71603,1986
13,"Brunswick, VA",86509,4886,9049,8344,94072,4037,2510,9058,151816,9767,9841,155853,16621,31777,30004,15837,1122,12277,13221,6112,4990,61011,1986
14,"Buchanan, VA",333795,17831,45265,37504,219887,-43,-71,36583,358219,19562,10330,358176,-77325,63364,74925,34675,1871,19491,64017,13599,11728,250287,1986
15,"Buckingham, VA",56613,3298,5543,4868,81820,2305,1808,5732,127972,10360,10422,130277,30939,26421,22036,12500,1305,12168,7977,3975,2670,36468,1986
16,"Campbell + Lynchburg, VA*",1459233,80730,145703,159760,981559,3418,2343,160610,1529219,78330,13558,1532637,-317064,299384,251694,113045,7624,80673,225583,71978,64354,1152977,1986
17,"Caroline, VA",89613,4823,10465,7874,163599,1689,1310,8760,235490,13825,13077,237179,82746,44477,29103,18137,1301,15135,14402,5293,3992,60076,1986
18,"Carroll + Galax, VA*",227537,13100,23940,23508,209584,2938,1861,24854,348957,23692,10499,351895,6901,64087,78224,33518,3371,25553,35694,16704,13333,166290,1986
19,"Charles City, VA",14011,905,1539,1254,56749,-489,-757,1532,79499,3750,12303,79010,44270,14059,8202,6422,278,2993,2166,1015,737,8852,1986
20,"Charlotte, VA",53227,3194,5096,5192,68190,1894,672,5790,114850,8633,10015,116744,20753,26417,22137,11657,1504,9305,7692,4500,2996,36230,1986
21,"Chesapeake (Independent City), VA",854984,47939,90575,92376,1636719,1768,-400,94127,2138344,67990,16154,2140112,875862,343924,159469,132485,7022,67590,136763,46117,39095,650631,1986
22,"Chesterfield, VA",1551206,81135,168340,158694,2543505,1607,1186,160482,3186361,108702,18190,3187968,1152781,496536,147927,175256,12153,109888,247687,73121,60968,1193631,1986
23,"Clarke, VA",78279,4373,7407,7344,117665,1312,-806,8045,172512,12390,15512,173824,47431,41009,15150,11206,1420,11584,11079,5347,3927,55616,1986
24,"Craig, VA",11139,687,1308,1052,30722,31,-93,1213,47489,1757,11377,47520,20796,9991,6807,4177,454,1664,1834,1130,676,7641,1986
25,"Culpeper, VA",201570,11369,21835,20266,249838,470,-1545,21502,367275,21891,15141,367745,69770,76973,40934,24288,2477,20346,31968,12426,9949,149256,1986
26,"Cumberland, VA",28257,1306,1885,1602,55193,7695,6561,2107,77787,6943,10949,85482,29043,16984,13305,7807,846,13504,2686,2038,1192,12067,1986
27,"Dickenson, VA",138071,7561,19130,14916,118712,-42,-61,15019,194903,10030,10181,194861,-4340,28382,47767,19140,1048,9969,26588,5882,4834,101514,1986
28,"Dinwiddie, Colonial Heights + Petersburg, VA*",532756,30852,56170,54640,628615,3029,1942,58172,1038822,50702,13577,1041851,154031,225721,187515,76735,4398,52644,83490,32465,28067,396622,1986
29,"Essex, VA",57154,3446,5737,5692,57901,-1595,-2124,6292,105233,8424,11823,103638,7039,28023,17714,8766,847,6300,8583,4480,3633,42271,1986
30,"Fairfax, Fairfax City + Falls Church, VA*",11275618,581434,1048033,1135610,14185468,949,-586,1149239,18631407,855057,24099,18632356,4059089,3830251,616637,773144,72218,854471,1615838,458317,386099,8805309,1986
31,"Fauquier, VA",321463,16766,35177,29122,575711,-505,-3908,31327,827193,47850,19417,826688,285575,202068,48909,42576,5170,43942,49738,19259,14089,227783,1986
